FileName,NumberOfLinesAdded,NumberOLinesDeleted,NumberOfLinesChangedTotal,NumberOfAuthors,NumberOfCommits,NumberOfCommitsOnlyForBugFix,AvgLinesAddedPerCommit,AvgLinesDeletedPerCommit,AvgLinesChangedPerCommit
JodaTime/src/test/org/joda/time/TestMutableDateTime_Basics.java,880.0,880.0,2019.0,1.0,16.0,7.0,55.0,55.0,126.19
JodaTime/src/test/org/joda/time/TestMutableDateTime_Adds.java,365.0,365.0,805.0,1.0,12.0,4.0,30.42,30.42,67.08
JodaTime/src/test/org/joda/time/TestMutableDateTime_Sets.java,700.0,700.0,1483.0,1.0,11.0,4.0,63.64,63.64,134.82
JodaTime/src/test/org/joda/time/TestMutableDateTime_Constructors.java,576.0,576.0,1166.0,2.0,5.0,3.0,115.2,115.2,233.2
JodaTime/src/test/org/joda/time/TestMutableDateTime_Properties.java,847.0,847.0,1796.0,2.0,8.0,3.0,105.88,105.88,224.5
JodaTime/src/test/org/joda/time/TestDateTimeUtils.java,645.0,645.0,1664.0,1.0,23.0,6.0,28.04,28.04,72.35
JodaTime/src/test/org/joda/time/convert/TestConverterSet.java,240.0,240.0,502.0,1.0,4.0,1.0,60.0,60.0,125.5
JodaTime/src/test/org/joda/time/convert/TestConverterManager.java,1210.0,1210.0,2996.0,1.0,20.0,7.0,60.5,60.5,149.8
JodaTime/src/test/org/joda/time/convert/TestStringConverter.java,778.0,778.0,1959.0,1.0,23.0,7.0,33.83,33.83,85.17
JodaTime/src/test/org/joda/time/convert/TestReadableIntervalConverter.java,293.0,293.0,713.0,1.0,19.0,6.0,15.42,15.42,37.53
JodaTime/src/test/org/joda/time/TestDuration_Constructors.java,1256.0,1256.0,3012.0,1.0,15.0,7.0,83.73,83.73,200.8
JodaTime/src/test/org/joda/time/TestDuration_Basics.java,1692.0,1692.0,4619.0,1.0,28.0,10.0,60.43,60.43,164.96
