FileName,NumberOfLinesAdded,NumberOLinesDeleted,NumberOfLinesChangedTotal,NumberOfAuthors,NumberOfCommits,NumberOfCommitsOnlyForBugFix,AvgLinesAddedPerCommit,AvgLinesDeletedPerCommit,AvgLinesChangedPerCommit
core/src/test/java/com/google/errorprone/bugpatterns/collectionIncompatibleType/CollectionIncompatibleTypeTest.java,145.0,74.0,299.0,2.0,5.0,2.0,29.0,14.8,59.8
core/src/test/resources/com/google/errorprone/bugpatterns/objectsequalselfcomparison/PositiveCases.java,86.0,43.0,172.0,2.0,3.0,1.0,28.67,14.33,57.33
core/src/main/java/com/google/errorprone/bugpatterns/dead_exception/DeadException.java,166.0,85.0,336.0,2.0,5.0,3.0,33.2,17.0,67.2
core/src/main/java/com/google/errorprone/bugpatterns/fallthroughsuppression/FallThroughSuppression.java,272.0,136.0,544.0,2.0,3.0,2.0,90.67,45.33,181.33
core/src/main/java/com/google/errorprone/matchers/Description.java,474.0,193.0,1092.0,4.0,31.0,21.0,15.29,6.23,35.23
core/src/test/resources/com/google/errorprone/bugpatterns/emptystatement/PositiveCases.java,74.0,37.0,148.0,2.0,3.0,2.0,24.67,12.33,49.33
core/src/test/resources/com/google/errorprone/bugpatterns/preconditionsexpensivestring/NegativeCase1.java,70.0,35.0,140.0,2.0,3.0,2.0,23.33,11.67,46.67
core/src/test/resources/com/google/errorprone/bugpatterns/selfassignment/PositiveCases1.java,110.0,55.0,220.0,2.0,3.0,2.0,36.67,18.33,73.33
core/src/test/resources/com/google/errorprone/bugpatterns/collectionIncompatibleType/NegativeCases.java,72.0,36.0,144.0,2.0,3.0,1.0,24.0,12.0,48.0
core/src/test/resources/com/google/errorprone/bugpatterns/selfassignment/PositiveCases2.java,144.0,72.0,288.0,2.0,3.0,2.0,48.0,24.0,96.0
core/src/main/java/com/google/errorprone/matchers/DescribingMatcher.java,322.0,541.0,1129.0,5.0,20.0,10.0,16.1,27.05,56.45
core/src/main/java/com/google/errorprone/bugpatterns/orderingfrom/OrderingFrom.java,192.0,96.0,384.0,2.0,3.0,2.0,64.0,32.0,128.0
core/src/test/resources/com/google/errorprone/bugpatterns/preconditionsexpensivestring/PositiveCase1.java,67.0,34.0,135.0,2.0,4.0,3.0,16.75,8.5,33.75
core/src/main/java/com/google/errorprone/bugpatterns/preconditionschecknotnullprimitive1starg/PreconditionsCheckNotNullPrimitive1stArg.java,274.0,137.0,548.0,2.0,3.0,2.0,91.33,45.67,182.67
